港澳台,#genre#
ElaT体育壹标,http://live4play.uk/livehttpplay?channel_id=20129
广东影视,http://live4play.uk/livehttpplay?channel_id=20145
广东湾区,http://live4play.uk/livehttpplay?channel_id=20083

RTHK-33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK-34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK-35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
华语电视,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
民事新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8

華視,rtmp://f13h.mine.nu/sat/tv111
TVBS新闻,rtmp://f13h.mine.nu/sat/tv551
TVBS歡樂台,rtmp://f13h.mine.nu/sat/tv421
非凡新闻,rtmp://f13h.mine.nu/sat/tv581
民视频道,rtmp://f13h.mine.nu/sat/tv051
台视频道,rtmp://f13h.mine.nu/sat/tv071
中视频道,rtmp://f13h.mine.nu/sat/tv091
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741

无线明珠粤标,http://tl.061833.xyz/tl/null-12
无线娱乐,http://tl.061833.xyz/tl/null-14
无线综合,http://tl.061833.xyz/tl/null-3
无线华剧,http://tl.061833.xyz/tl/null-4
无线亚剧,http://tl.061833.xyz/tl/null-13
黄金翡翠,http://tl.061833.xyz/tl/null-2
黄金华剧,http://tl.061833.xyz/tl/null-9
天映经典,http://tl.061833.xyz/tl/null-1
中国电影,http://tl.061833.xyz/tl/null-6

大爱一,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
Plus即时,https://vdm6-ali.wujiekeji1.com/live/h6-2.flv
Plus即时,https://vdm6-hw.nbgdsygs.com/live/h6-2.flv
悟道法师讲经,https://tw3.amtb.de/liveedge/_definst_/wdmaster/playlist.m3u8
网络念佛堂,https://tw3.amtb.de/liveedge/_definst_/amtb/playlist.m3u8
儒釋道電視台,https://tw2.amtb.de/liveedge/_definst_/livetv/playlist.m3u8
唯心電視,https://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
蕃薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8

全球频道,#genre#
Сити Эдем TV RU,https://autopilot.catcast.tv/content/34246/index.m3u8
Детское кино International,https://autopilot.catcast.tv/content/38720/index.m3u8
Кино 18+ International,https://autopilot.catcast.tv/content/40381/index.m3u8
ТВ «ШАНС»,https://autopilot.catcast.tv/content/34776/index.m3u8


A21 Network 俄罗斯赛车电视台,https://autopilot.catcast.tv/content/37909/index.m3u8
美国摔跤,https://d2p372oxiwmcn1.cloudfront.net/hls/main.m3u8
美国加利福尼亚音乐频道 EN,https://cmc-ono.amagi.tv/hls/amagi_hls_data_cmcAAAAAA-cmc-ono/CDN/playlist.m3u8?device=TDTChannels&checkedby:iptvcat.com
去美国,https://brandusa-gousa-1-nl.samsung.wurl.tv/playlist.m3u8
国家地理野生俄罗斯,https://hls.rt.com/hls/rtdru.m3u8
台湾Plus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
摇滚电视,https://tv.broadcasting.ro/rocktv/85c83a80-4f71-4f2d-a8d6-43f676896bcb.m3u8
Muzzik摇滚乐,https://muzzik-live.morescreens.com/mts-1/playlist.m3u8
Rocky Hill Government Access 第 16 频道,https://securestream7.champds.com/hlssstc/RockyHillCTLIVE/RockyHillCTLIVE.m3u8
乌斯怀亚,https://fashiontv-fashiontv-1-eu.rakuten.wurl.tv/playlist.m3u8
NBA TV 高清,https://frankentv.iptv-playoutcenter.de/frankentv/frankentv.stream_1/playlist.m3u8
体育网格,https://sportsgrid-samsungus.amagi.tv/playlist.m3u8
快门怀旧,https://noshls.persiana.live/hls/stream.m3u8
TVS 怀旧,https://bozztv.com/gusa/gusa-nostalgia/index.m3u8
现在的 90 年代,https://lightning-now90s-samsungnz.amagi.tv/playlist.m3u8
现在的 80 年代,https://lightning-now80s-samsungnz.amagi.tv/playlist.m3u8
现在的 70 年代,https://lightning-now70s-samsungnz.amagi.tv/playlist.m3u8
360°,https://live-vgtrksmotrim.cdnvideo.ru/vgtrksmotrim/smotrim-live-04-srt.smil/playlist.m3u8
BILLIARD TV 台球,https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/billiard-tv/BILLIARDTV_SCTE.m3u8
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
TVS 拳击,https://bozztv.com/gusa/gusa-tvsboxing/index.m3u8
Swerve Sports (1080p),https://linear-253.frequency.stream/dist/glewedtv/253/hls/master/playlist.m3u8
Fight Network (1080p),https://d12a2vxqkkh1bo.cloudfront.net/hls/main.m3u8
K19,https://1853185335.rsc.cdn77.org/K192/tv/playlist.m3u8
Lacrosse TV (720p),https://1840769862.rsc.cdn77.org/FTF/LSN_SCTE.m3u8
M-Net Sport (720p),http://ares.mnet.mk/hls/mnet-sport.m3u8
MadeinBO TV (1080p),https://srvx1.selftv.video/dmchannel/live/playlist.m3u8
MLB Network,http://fl2.moveonjoy.com/MLB_NETWORK/index.m3u8
NFL Network,http://fl2.moveonjoy.com/NFL_NETWORK/index.m3u8
One Golf (720p),http://162.250.201.58:6211/pk/ONEGOLF/index.m3u8
San Marino RTV Sport (720p),https://d2hrvno5bw6tg2.cloudfront.net/smrtv-ch02/smil:ch-02.smil/master.m3u8
SOS Kanal Plus (720p),https://53be5ef2d13aa.streamlock.net/soskanalplus/soskanalplus.stream/playlist.m3u8
Sport En France (1080p),https://sp1564435593.mytvchain.info/live/sp1564435593/index.m3u8
Sports Connect (720p),https://origin3.afxp.telemedia.co.za/PremiumFree/sportsconnect/playlist.m3u8
SportsGrid (1080p),https://sportsgrid-tribal.amagi.tv/playlist.m3u8
Trace Sports Stars,https://trace-sportstars-samsungnz.amagi.tv/playlist.m3u8
Türkmenistan Sport (406p) [Not 24/7],https://alpha.tv.online.tm/hls/ch004.m3u8
Bahrain Sports 2 (720p) [Not 24/7],https://5c7b683162943.streamlock.net/live/ngrp:bahrainsportstwo_all/playlist.m3u8
Billiard TV (720p),https://9769bd6405b245ea9adca1889a0b491b.mediatailor.us-east-1.amazonaws.com/v1/master/f4e8c53a8367a5b58e20ce054ea3ce25a3e904d3/Samsung-in_BilliardTV/playlist.m3u8
CampusLore (720p),https://linear-235.frequency.stream/dist/glewedtv/235/hls/master/playlist.m3u8
CBS Sports Network USA,http://fl2.moveonjoy.com/CBS_SPORTS_NETWORK/index.m3u8
Fox Sports 1,http://fl2.moveonjoy.com/FOX_Sports_1/index.m3u8
Pac 12 Insider (1080p),https://pac12-roku-us.amagi.tv/playlist.m3u8
Racing.com (720p),https://racingvic-i.akamaized.net/hls/live/598695/racingvic/index1500.m3u8
Unbeaten (1080p),https://unbeaten-tcl.amagi.tv/playlist.m3u8
